Guinea;Conakry;AF
Guadeloupe;Basse-Terre;NA
Equatorial Guinea;Malabo;AF
Greece;Athens;EU
South Georgia and the South Sandwich Islands;Grytviken;AN
Guatemala;Guatemala City;NA
Guam;Hagatna;OC
Guinea-Bissau;Bissau;AF
Guyana;Georgetown;SA
Hong Kong;Hong Kong;AS
Heard Island and McDonald Islands;;AN
Honduras;Tegucigalpa;NA
Croatia;Zagreb;EU
Haiti;Port-au-Prince;NA
Hungary;Budapest;EU
Indonesia;Jakarta;AS
Ireland;Dublin;EU
Israel;Jerusalem;AS
Isle of Man;Douglas;EU
India;New Delhi;AS
British Indian Ocean Territory;Diego Garcia;AS
Iraq;Baghdad;AS
Iran;Tehran;AS
Iceland;Reykjavik;EU
Italy;Rome;EU
Jersey;Saint Helier;EU
Jamaica;Kingston;NA
Jordan;Amman;AS
Japan;Tokyo;AS
Kenya;Nairobi;AF
Kyrgyzstan;Bishkek;AS
Cambodia;Phnom Penh;AS
Kiribati;Tarawa;OC
Comoros;Moroni;AF
Saint Kitts and Nevis;Basseterre;NA
North Korea;Pyongyang;AS
South Korea;Seoul;AS
Kuwait;Kuwait City;AS
Cayman Islands;George Town;NA
Kazakhstan;Astana;AS
Laos;Vientiane;AS
Lebanon;Beirut;AS
Saint Lucia;Castries;NA
Liechtenstein;Vaduz;EU
Sri Lanka;Colombo;AS
Liberia;Monrovia;AF
Lesotho;Maseru;AF
Lithuania;Vilnius;EU
Luxembourg;Luxembourg;EU
Latvia;Riga;EU
Libya;Tripoli;AF
Morocco;Rabat;AF
Monaco;Monaco;EU
Moldova;Chisinau;EU
Montenegro;Podgorica;EU
Saint Martin;Marigot;NA
Madagascar;Antananarivo;AF
Marshall Islands;Majuro;OC
Macedonia;Skopje;EU
Mali;Bamako;AF
Myanmar [Burma];Nay Pyi Taw;AS
Mongolia;Ulaanbaatar;AS
Macao;Macao;AS
Northern Mariana Islands;Saipan;OC
Martinique;Fort-de-France;NA
Mauritania;Nouakchott;AF
Montserrat;Plymouth;NA
Malta;Valletta;EU
Mauritius;Port Louis;AF
Maldives;Male;AS
Malawi;Lilongwe;AF
Mexico;Mexico City;NA
Malaysia;Kuala Lumpur;AS
Mozambique;Maputo;AF
Namibia;Windhoek;AF
New Caledonia;Noumea;OC
Niger;Niamey;AF
Norfolk Island;Kingston;OC
Nigeria;Abuja;AF
Nicaragua;Managua;NA
Netherlands;Amsterdam;EU
Norway;Oslo;EU
Nepal;Kathmandu;AS
Nauru;Yaren;OC
Niue;Alofi;OC
New Zealand;Wellington;OC
Oman;Muscat;AS
Panama;Panama City;NA
Peru;Lima;SA
French Polynesia;Papeete;OC
Papua New Guinea;Port Moresby;OC
Philippines;Manila;AS
Pakistan;Islamabad;AS
Poland;Warsaw;EU
Saint Pierre and Miquelon;Saint-Pierre;NA
Pitcairn Islands;Adamstown;OC
Puerto Rico;San Juan;NA
Palestine;East Jerusalem;AS
Portugal;Lisbon;EU
Palau;Melekeok;OC
Paraguay;Asuncion;SA
Qatar;Doha;AS
RĂ©union;Saint-Denis;AF
Romania;Bucharest;EU
Serbia;Belgrade;EU
Russia;Moscow;EU
Rwanda;Kigali;AF
Saudi Arabia;Riyadh;AS
Solomon Islands;Honiara;OC
Seychelles;Victoria;AF
Sudan;Khartoum;AF
Sweden;Stockholm;EU
Singapore;Singapore;AS
Saint Helena;Jamestown;AF
Slovenia;Ljubljana;EU
Svalbard and Jan Mayen;Longyearbyen;EU
Slovakia;Bratislava;EU
Sierra Leone;Freetown;AF
San Marino;San Marino;EU
Senegal;Dakar;AF
Somalia;Mogadishu;AF
Suriname;Paramaribo;SA
South Sudan;Juba;AF
SĂŁo TomĂ© and PrĂ­ncipe;Sao Tome;AF
El Salvador;San Salvador;NA
Sint Maarten;Philipsburg;NA
Syria;Damascus;AS
Swaziland;Mbabane;AF
Turks and Caicos Islands;Cockburn Town;NA
Chad;N'Djamena;AF
French Southern Territories;Port-aux-Francais;AN
Togo;Lome;AF
Thailand;Bangkok;AS
Tajikistan;Dushanbe;AS
Tokelau;;OC
East Timor;Dili;OC
Turkmenistan;Ashgabat;AS
Tunisia;Tunis;AF
Tonga;Nuku'alofa;OC
Turkey;Ankara;AS
Trinidad and Tobago;Port of Spain;NA
Tuvalu;Funafuti;OC
Taiwan;Taipei;AS
Tanzania;Dodoma;AF
Ukraine;Kyiv;EU
Uganda;Kampala;AF
U.S. Minor Outlying Islands;;OC
United States;Washington;NA
Uruguay;Montevideo;SA
Uzbekistan;Tashkent;AS
Vatican City;Vatican City;EU
Saint Vincent and the Grenadines;Kingstown;NA
Venezuela;Caracas;SA
British Virgin Islands;Road Town;NA
U.S. Virgin Islands;Charlotte Amalie;NA
Vietnam;Hanoi;AS
Vanuatu;Port Vila;OC
Wallis and Futuna;Mata Utu;OC
Samoa;Apia;OC
Kosovo;Pristina;EU
Yemen;Sanaa;AS
Mayotte;Mamoudzou;AF
South Africa;Pretoria;AF
Zambia;Lusaka;AF
Zimbabwe;Harare;AF
